currentPrice,dirtyTicketInd,listingId,listingPrice,quantity,retrieveTime,row,score,seatNumbers,sectionId,sectionName,sellerSectionName,zoneId,zoneName,Event,Date
92.5,FALSE,1314349276,75,2,3/18/18 0:58,13,0,13;14,30192,Mezzanine Goal 216A,UPPER:216A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314598320,75,2,3/18/18 0:58,11,0,1;2,30173,Mezzanine Center 212,UPPER:212,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1312444319,75,6,3/18/18 0:58,11,0,NA,30177,Mezzanine Center 223,UPPER:223,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314774005,75,3,3/18/18 0:58,3,0,5;6;7,30198,Mezzanine Goal 220,UPPER:220,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1313438366,75,2,3/18/18 0:58,24,0,12;13,30164,Lower Goal 118,LOWER:118,7742,Lower Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314035518,75,2,3/18/18 0:58,11,0,1;2,30174,Mezzanine Center 213,UPPER:213,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314762344,75,2,3/18/18 0:58,5,0,5;6,30177,Mezzanine Center 223,UPPER:223,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314134245,75,2,3/18/18 0:58,1,0,13;14,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1310368128,75,2,3/18/18 0:58,7,0,NA,30184,Mezzanine Goal 207,UPPER:207,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1313316380,75,2,3/18/18 0:58,1,0,5;6,30194,Mezzanine Goal 217A,UPPER:217A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
92.5,FALSE,1314559077,75,8,3/18/18 0:58,13,0,NA,30181,Mezzanine Goal 205,UPPER:205,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
93.7,FALSE,1313711721,76,2,3/18/18 0:58,8,0,7;8,30196,Mezzanine Goal 219,UPPER:219,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
